,SetName,Pieces,USRetailPrice,Availability
594,Patrol Car,97,11.99,Retail
595,Peach's Castle,1216,129.99,Retail
596,Peekaboo Jungle,13,12.99,Retail
597,Pencil Pot,187,12.99,Retail - limited
598,Percy at the Water Tower,15,10,Retail
599,Pet Shop,2032,149.99,Retail - limited
600,Phantom Crasher,85,10,Retail
601,Pharaoh,6,1.99,Retail
602,Piggy Car Escape,74,12.99,Retail
603,Pink Brick Box,30,14.99,Retail
604,Pink Brick Box,224,14.99,Retail
605,Pirate Plank,122,14.99,Retail
606,Pirate Ship,1264,119.99,Retail
607,Playroom,17,14.99,Retail
608,Plo Koon's Jedi Starfighter Microfighter,89,14.99,Retail
609,Pohatu - Master of Stone,66,14.99,Retail
